allergen_id,product_id
13,171
3,171
9,172
9,173
13,174
10,174
11,174
3,174
7,174
12,174
5,174
9,175
10,175
14,175
4,175
12,175
6,175
5,175
6,176
9,177
8,177
3,177
4,177
6,177
9,178
9,179
13,180
3,180
6,181
13,182
10,182
11,182
7,182
12,182
5,182
9,183
13,184
3,184
9,185
13,185
10,185
11,185
3,185
14,185
4,185
12,185
6,185
13,186
10,186
11,186
7,186
12,186
5,186
9,187
13,187
10,187
3,187
14,187
4,187
12,187
6,187
9,188
9,189
13,189
10,189
3,189
14,189
4,189
12,189
6,189
9,190
10,190
14,190
6,190
5,190
9,191
13,191
10,191
3,191
14,191
4,191
12,191
6,191
9,192
13,193
10,193
11,193
3,193
14,193
12,193
9,194
10,194
14,194
6,194
5,194
3,195
6,195
13,196
10,196
11,196
3,196
14,196
12,196
9,197
13,198
10,198
11,198
3,198
14,198
13,199
10,199
11,199
3,199
7,199
12,199
5,199
13,200
10,200
11,200
3,200
14,200
12,200
13,201
10,201
11,201
3,201
14,201
1,202
4,202
13,203
10,203
11,203
3,203
14,203
12,203
3,204
6,204
3,205
6,205
3,206
6,206
13,207
10,207
11,207
3,207
7,207
12,207
5,207
9,208
8,208
3,208
4,208
6,208
9,209
