allergen_id,product_id
14,24
6,24
9,26
14,27
6,27
6,28
3,29
14,29
6,29
6,33
13,35
10,35
3,35
14,35
12,35
6,35
6,37
1,38
9,38
13,38
10,38
11,38
3,38
14,38
7,38
12,38
6,38
5,38
6,41
10,42
14,42
12,42
6,42
6,43
1,44
10,44
14,44
12,44
6,44
6,45
14,46
6,46
6,47
10,48
6,48
6,50
6,52
2,54
3,54
14,54
6,54
2,56
3,56
6,56
6,57
6,58
1,59
10,59
14,59
12,59
6,59
10,61
3,61
14,61
12,61
6,61
10,62
6,62
2,63
3,63
14,63
6,63
2,64
3,64
14,64
6,64
2,67
3,67
14,67
6,67
2,68
3,68
14,68
6,68
6,69
10,70
3,70
14,70
12,70
6,70
14,74
6,74
2,76
3,76
14,76
6,76
1,79
10,79
3,79
14,79
12,79
6,79
1,80
10,80
14,80
12,80
6,80
1,83
10,83
14,83
12,83
6,83
9,85
9,91
2,92
3,92
6,92
10,93
14,93
12,93
6,93
