allergen_id,product_id
3,210
3,211
3,212
13,213
3,213
13,214
3,214
13,215
3,215
3,216
3,217
13,218
3,218
14,218
3,219
13,220
3,220
14,220
13,221
3,221
14,221
13,222
3,222
14,222
13,223
3,223
14,223
13,224
3,224
14,224
13,225
3,225
14,225
3,226
3,227
13,228
3,228
3,229
3,230
3,231
13,232
3,232
3,233
3,234
13,235
3,235
3,236
13,237
3,237
13,238
3,238
3,239
13,240
3,240
13,241
3,241
13,242
3,242
14,242
13,243
3,243
14,243
13,244
3,244
14,244
13,245
10,245
3,245
14,245
4,245
6,245
5,245
13,246
10,246
3,246
14,246
4,246
6,246
5,246
13,247
10,247
3,247
14,247
4,247
6,247
5,247
13,248
10,248
3,248
14,248
4,248
6,248
5,248
13,249
3,249
14,249
13,250
3,250
14,250
13,251
3,251
14,251
13,252
3,252
14,252
13,254
3,254
14,254
13,255
3,255
14,255
13,256
3,256
14,256
6,256
13,257
3,257
14,257
13,258
3,258
13,259
3,259
14,259
13,260
3,260
14,260
13,261
3,261
14,261
3,262
14,262
3,263
14,263
13,264
3,264
14,264
13,265
3,265
14,265
13,266
3,266
14,266
13,267
3,267
14,267
13,268
3,268
3,269
3,270
3,271
3,272
13,273
3,273
3,275
13,277
3,277
3,278
3,280
13,283
3,283
3,284
3,285
3,286
3,288
13,289
3,289
13,290
3,290
13,291
3,291
14,291
3,292
3,295
3,296
3,297
13,298
3,298
13,299
3,299
13,300
3,300
14,300
3,301
13,302
3,302
14,302
13,303
3,303
14,303
3,308
3,309
3,311
13,312
3,312
3,316
3,317
3,318
13,319
3,319
13,320
3,320
13,321
3,321
13,322
3,322
13,323
3,323
3,324
3,325
13,326
3,326
14,326
3,327
13,328
3,328
14,328
13,329
3,329
14,329
13,330
3,330
14,330
13,331
3,331
14,331
6,331
13,332
3,332
3,334
3,336
13,337
3,337
14,337
13,338
3,338
3,339
3,340
13,341
3,341
13,342
3,342
13,343
3,343
3,344
3,345
13,346
3,346
